char,pron
雲吞,wäng4 täng1
湯圓,tong6 yüng2
糯米餈,no6 mäi1 ci4
口立濕,häu2 läp6 säp2
瘦食,säu1 säp2
茶果,ca4 gwo2
宵夜,siu1 ya6
配料,pui1 liu2
海沙,fui2 sa2
豬油,zü1 yäu4
麻油,ma4 yäu4
黃糖,wong4 tong4
砂糖,sa6 tong4
白糖,bæk6 tong4
麻糖,ma4 tong2
豉油,si6 yäu4
蜜糖,mäk6 tong4
大隻,dai6 zek2
頭殼,täu4 hok2
光頭,gwong1 täu4
頭毛,täu4 mäu4
頭皮,täu4 pi4
酒凹,zäu2 näp2
額頭,ngæk6 täu4
魂精,wäng4 zeng2
腦囟,näu1 säng2
眼光仔,ngæng1 gwong1 zäi2
眼核,ngæng1 wäk6
眼淚,ngæng1 löi6
眼水,ngæng1 söi2
淚水,löi6 söi2
眼泣毛,ngæng6 yäp2 mäu4
眼眉毛,ngæng6 mi4 mäu4
鼻公,bi6 gung1
鼻哥窿,bi6 go2 lung2
鼻膿,bi6 nung4
擤鼻膿,säng1 bi6 nung4
鼻屎,bi6 si2
耳仔,ngi1 zäi2
耳梗,ngi1 gäk2
耳屎,ngi1 si2
嘴唇,zöi2 säng4
大牙,dai6 nga4
齙牙,bau1 nga4
牙肉,nga4 yuk6
牙屎,nga4 si2
鬍鬚,wu4 su1
下巴,ha6 pa4
口水,häu2 söi2
喉嚨,häu4 lung4
膞頭,bok2 täu4
心口,säm1 häu2
背脊,bui1 zek2
背樑,bi1 löng1
背裡,bi1 läi4
屏骨,peng2 gwäk2
打赤勒,da2 cek2 lak2
手臂,säu2 bi1
手踭,säu2 zæng2
手凹,säu2 näp2
左手,zo2 säu2
右手,yäu2 säu2
手掌,säu2 zöng2
拳頭,küng4 täu4
手指,säu2 zi2
手指公,säu2 zi2 gung1
手指尾,säu2 zi2 mi1
指甲,zi2 gap2
起枕,hi2 zäm2
隔肋底,gak2 lak2 däi2
媽仔,ma2 zäi2
奶頭,nai2 täu4
肚臍,du2 ci4
屎窟,si1 fäk2
屎窟窿,si2 fäk2 lung2
打出屎窟,da2 cäk2 si2 fäk2
褲襠,fu6 nong6
褲襠底,fu6 long6 däi2
卡窿下,ka6 la6 ha2
春袋,cäng1 döi6
鵝仔,ngo4 zäi2
大髀,dai6 bi2
腳肚仔,gök2 du2 zäi2
膝頭哥,säk2 täu4 go2
腳腩肚,gök2 nam1 du2
腳囊肚,gök2 nöng4 du2
腳眼,gök2 ngæng1
腳踭,gök2 zæng2
