id,language,glyph,pron
295,waitau,包粟,bau1 suk2
295,hakka,包粟,bau1 suk5
296,waitau,高粱,gäu1 löng4
296,hakka,高粱粟,gau1 liong2 suk5
297,waitau,黃豆,wong4 däu2
297,waitau,大豆,dai6 däu2
297,hakka,黃豆,vong2 teu4
298,waitau,荷蘭豆,ho4 læng2 däu2
298,hakka,荷蘭豆,ho2 lan1 teu4
299,waitau,蠶豆,cam4 däu2
299,hakka,蠶豆,cam2 teu4
300,waitau,芝麻,zi1 ma4
300,hakka,油麻,yiu2 ma2
301,waitau,豆角,däu6 gok2
301,hakka,豆角,teu4 gok5
302,waitau,扁豆,bing2 däu6
302,hakka,刀豆仔,dau1 teu4 zai3
303,waitau,葛薯,guk2 sü4
303,hakka,番薯,fan1 su2
304,waitau,荷蘭薯,ho4 læng2 sü4
304,waitau,薯仔,sü4 zäi2
304,hakka,荷蘭薯,ho2 lan1 su2
304,hakka,薯仔,su2 zai3
305,waitau,地豆,di6 däu6
305,hakka,地豆,ti4 teu4
306,waitau,地豆米,di6 däu6 mäi1
306,hakka,地豆米,ti4 teu4 mi3
307,waitau,菇,gu1
307,hakka,菇,gu1
308,waitau,栗子,läk6 zi1
308,hakka,風栗,fung1 lit6
309,waitau,栗子,läk6 zi1
309,hakka,粟子,lit6 zu3
310,waitau,蔗,ze1
310,hakka,蔗,za4
311,waitau,菜,cöi1
311,hakka,青菜,ciang1 coi4
312,waitau,菠菜,bo2 cöi1
312,hakka,角菜,gok5 coi4
313,waitau,黃芽白,wong4 nga4 bæk6
313,hakka,黃芽白,vong2 nga2 pak6
314,waitau,矮瓜,äi2 gwa1
314,hakka,矮瓜,ai3 ga1
315,waitau,絲瓜,si1 gwa1
315,hakka,絲瓜,se1 ga1
316,waitau,番瓜,fæng1 gwa1
316,hakka,金瓜,gim1 ga1
317,waitau,冬瓜,dung1 gwa1
317,hakka,冬瓜,dung1 ga1
318,waitau,青瓜,ceng1 gwa1
318,hakka,黃瓜,vong2 ga1
319,waitau,番茄,fæng1 kö2
319,hakka,番茄,fan1 kio2
320,waitau,菜頭,cöi1 täu4
320,hakka,蘿蔔,lo2 pet6
321,waitau,紅蘿蔔,hung4 lo4 bæk6
321,waitau,甘筍,gäm1 säng2
321,hakka,紅蘿蔔,fung2 lo2 pet6
322,waitau,辣椒,læk6 ziu2
322,hakka,辣椒,lat6 ziau1
323,waitau,蕹菜,ung1 cöi1
323,hakka,蕹菜,vung4 coi4
324,waitau,韭菜,gäu2 cöi1
324,hakka,韭菜,giu3 coi4
325,waitau,莧菜,hing1 cöi1
325,hakka,莧菜,han4 coi4
326,waitau,芥菜,gai1 cöi1
326,hakka,芥菜,gai4 coi4
327,waitau,芹菜,käng4 cöi1
327,hakka,芹菜,kiun2 coi4
328,waitau,芫荽,yim4 säi1
328,hakka,芫荽,yen2 sui1
329,waitau,生菜,sæng1 cöi1
329,hakka,脈菜,mak5 coi4
330,waitau,潺菜,sæng4 cöi1
330,hakka,潺菜,can2 coi4
331,waitau,慈姑,ci4 gu1
331,waitau,牙姑,nga4 gu1
331,hakka,牙姑,nga2 gu1
332,waitau,蓮藕,ling4 ngäu1
332,hakka,蓮藕,lien2 leu1
333,waitau,馬蹄,ma1 täi2
333,hakka,馬蹄,ma1 tai2
334,waitau,菱角,läng4 gok2
334,hakka,菱角,lin2 gok5
335,waitau,蔥,cung2
335,hakka,蔥仔,cung1 zai3
336,waitau,蒜頭,süng1 täu4
336,hakka,蒜仔,son4 zai3
337,waitau,蒜梗,süng1 kwæng2
337,hakka,蒜苗,son4 miau2
338,waitau,蒜頭,süng1 täu4
338,hakka,蒜頭,son4 teu2
339,waitau,蕎頭,kiu1 täu4
339,hakka,蕎頭,kiau1 teu2
340,waitau,薑,göng1
340,hakka,薑嫲,giong1 ma2
341,waitau,梗,kwäng2
341,hakka,梗,gang3
342,waitau,菜梗,cöi1 kwæng2
342,hakka,菜心,coi4 sim1
343,waitau,菜,cöi1
343,hakka,菜,coi4
344,waitau,菜根,cöi1 gäng2
344,hakka,菜根,coi4 gin1
345,waitau,苗,miu4
345,hakka,菜秧,coi4 yong1
346,waitau,浮仔,fäu4 zäi2
346,waitau,浮薸,pou4 piu4
346,hakka,薸仔,piau2 zai3
347,waitau,生果,sæng1 gwo2
